1,Norway (NOR),13,13,10,36
2,Germany (GER),13,7,5,25
3,Canada (CAN),10,8,9,27
4,United States (USA),8,7,6,21
5,Netherlands (NED),8,6,4,18
6,Sweden (SWE),5,5,0,10
7,France (FRA),5,4,6,15
8,Austria (AUT),5,2,6,13
9,South Korea (KOR),4,4,4,12
10,Switzerland (SUI),3,6,4,13
11,Japan (JPN),3,5,3,11
12,Italy (ITA),3,2,5,10
13,Belarus (BLR),2,1,0,3
14,China (CHN),1,6,2,9
15,Olympic Athletes from Russia (OAR) 2,1,5,8,14
16,Czech Republic (CZE),1,2,3,6
17,Slovakia (SVK),1,2,0,3
18,Great Britain (GBR),1,0,3,4
19,Poland (POL),1,0,1,2
20,Hungary (HUN),1,0,0,1
20,Ukraine (UKR),1,0,0,1
22,Australia (AUS),0,2,1,3
23,Slovenia (SLO),0,1,0,1
24,Finland (FIN),0,0,4,4
25,Spain (ESP),0,0,2,2
25,New Zealand (NZL),0,0,2,2
27,Kazakhstan (KAZ),0,0,1,1
27,Latvia (LAT),0,0,1,1
27,Liechtenstein (LIE),0,0,1,1
